x,y,kmeans,dbscan1,dbscan2
-8.615955727000001,41.15825932,1,2,2
-8.61790669,41.15809674,1,2,2
-8.615142826,41.15988513,1,2,2
-8.612866702,41.15972255,1,2,2
-8.617418949,41.15988513,1,2,2
-8.614167344,41.16086061,1,2,2
-8.616443468,41.16118577,1,2,2
-8.596120936,41.15061805,1,1,2
-8.593844812,41.15029289,1,1,2
-8.59238159,41.14834193,1,1,2
-8.593519651,41.1468787,1,1,2
-8.591406108,41.14704129,1,1,2
-8.591568687999999,41.15013031,1,1,2
-8.590268046,41.14866709,1,1,2
-8.589617725,41.15061805,1,1,2
-8.587829342000001,41.14899225,1,1,2
-8.589617725,41.14720387,1,1,2
-8.587504182,41.14736645,1,1,2
-8.587666762000001,41.15094321,1,1,2
-8.585715798999999,41.14834193,1,1,2
-8.585553219,41.15045547,1,1,2
-8.682776213,41.16590059,3,3,3
-8.684239435,41.16801414,3,3,3
-8.685865238,41.1699651,3,3,3
-8.686352979,41.17256639,3,3,3
-8.685865238,41.17516767,3,3,3
-8.684239435,41.17711863,3,3,3
-8.682125892,41.17874444,3,3,3
-8.680012349,41.18004508,3,3,3
-8.677898805,41.1806954,3,3,3
-8.675460101,41.18118314,3,3,3
-8.672696237,41.18118314,3,3,3
-8.670420112999999,41.18102056,3,3,3
-8.66798141,41.1806954,2,3,3
-8.665542706,41.1798825,2,3,3
-8.662941422000001,41.17890702,2,3,3
-8.663104002,41.17695605,2,3,3
-8.665054965,41.17760637,2,3,3
-8.667656249,41.17858186,2,3,3
-8.670257533,41.17939476,3,3,3
-8.671720755,41.17939476,3,3,3
-8.67432204,41.17939476,3,3,3
-8.676598163,41.17923218,3,3,3
-8.678549126,41.17890702,3,3,3
-8.680337509,41.17793153,3,3,3
-8.681475571,41.17679347,3,3,3
-8.682938793,41.17565541,3,3,3
-8.684402016,41.17370445,3,3,3
-8.684239435,41.1715909,3,3,3
-8.683589114,41.16963994,3,3,3
-8.682125892,41.16801414,3,3,3
-8.680337509,41.16687608,3,3,3
-8.678386546,41.16638834,3,3,3
-8.676273003,41.16638834,3,3,3
-8.673834299,41.16573801,3,3,3
-8.671883336,41.16476253,3,3,3
-8.673346557999999,41.16346189,3,3,3
-8.675134941,41.16443737,3,3,3
-8.677573645,41.16476253,3,3,3
-8.679524608,41.16492511,3,3,3
-8.681963312,41.16476253,3,3,3
-8.684402016,41.16573801,3,3,3
-8.685540077,41.16720124,3,3,3
-8.6870033,41.16866446,3,3,3
-8.68749104,41.17094058,3,3,3
-8.687653621,41.17272897,3,3,3
-8.687653621,41.17500509,3,3,3
-8.686515559,41.17695605,3,3,3
-8.684889756,41.17841927,3,3,3
-8.683263954,41.1798825,3,3,3
-8.681475571,41.18118314,3,3,3
-8.679687187999999,41.18183346,3,3,3
-8.677085904,41.18248378,3,3,3
-8.67480978,41.18280894,3,3,3
-8.672533657,41.18280894,3,3,3
-8.670907854,41.18248378,3,3,3
-8.66830657,41.18215862,2,3,3
-8.665867866000001,41.18167088,2,3,3
-8.663754323,41.1806954,2,3,3
-8.666843347999999,41.17923218,2,3,3
-8.675460101,41.17256639,3,4,3
-8.674159459,41.17191606,3,4,3
-8.672533657,41.17094058,3,4,3
-8.670907854,41.16931478,3,4,3
-8.669119471,41.16817672,3,4,3
-8.667493669,41.16736382,2,4,3
-8.665217545,41.1667135,2,4,3
-8.662941422000001,41.1667135,2,4,3
-8.660502718,41.16703866,2,4,3
-8.674647199999999,41.17321671,3,4,3
-8.672858817,41.17305413,3,4,3
-8.672045916,41.17175348,3,4,3
-8.670094953,41.170778000000006,3,4,3
-8.66830657,41.16963994,2,4,3
-8.666843347999999,41.16850188,2,4,3
-8.664892385,41.16850188,2,4,3
-8.663429162,41.16866446,2,4,3
-8.661640778999999,41.16866446,2,4,3
-8.659364656000001,41.16817672,2,4,3
-8.665542706,41.16980252,2,4,3
-8.667656249,41.170778000000006,2,4,3
-8.668956891,41.1715909,3,4,3
-8.663916902999999,41.17012768,2,4,3
-8.661640778999999,41.17012768,2,4,3
-8.659202076,41.17012768,2,4,3
-8.658064013999999,41.16882704,2,4,3
-8.660665298,41.1715909,2,4,3
-8.656925952,41.170778000000006,2,4,3
-8.658714335,41.17175348,2,4,3
-8.657251112,41.17224123,2,4,3
-8.659039495,41.17321671,2,4,3
-8.65578789,41.1715909,2,4,3
-8.654812409,41.17321671,2,4,3
-8.656600791,41.17386703,2,4,3
-8.658064013999999,41.17484251,2,4,3
-8.65595047,41.17549283,2,4,3
-8.654324668,41.17500509,2,4,3
-8.654812409,41.17711863,2,4,3
-8.652861445,41.17565541,2,4,3
-8.653349186,41.17744379,2,4,3
-8.651398223,41.17646831,2,4,3
-8.652048544,41.17841927,2,4,3
-8.654487247999999,41.17890702,2,4,3
-8.653186606,41.1798825,2,4,3
-8.651235643,41.18004508,2,4,3
-8.650422742,41.17825669,2,4,3
-8.648634358999999,41.17874444,2,4,3
-8.64960984,41.18037024,2,4,3
-8.647658877000001,41.1798825,2,4,3
-8.650747902,41.18167088,2,4,3
-8.648634358999999,41.18199604,2,4,3
-8.647008556,41.18118314,2,4,3
-8.659039495,41.20898436,0,5,4
-8.659852397,41.2070334,0,5,4
-8.660990457999999,41.20898436,0,5,4
-8.661640778999999,41.20719598,0,5,4
-8.663266582,41.2086592,0,5,4
-8.663916902999999,41.20670824,0,5,4
-8.663916902999999,41.20491986,0,5,4
-8.66180336,41.20557018,0,5,4
-8.661153039,41.203781799999994,0,5,4
-8.660177557,41.2054076,0,5,4
-8.658876915,41.20361921,0,5,4
-8.663266582,41.203781799999994,0,5,4
-8.661153039,41.20231857,0,5,4
-8.664404644,41.20231857,0,5,4
-8.662453681,41.20199341,0,5,4
-8.659689816,41.20134309,0,5,4
-8.665705286,41.20410696,0,5,4
-8.665380125,41.20638308,0,5,4
-8.665054965,41.20882178,0,5,4
-8.666843347999999,41.20491986,0,5,4
-8.666518187000001,41.20768372,0,5,4
-8.666680767,41.20264373,0,5,4
-8.665542706,41.20118051,0,5,4
-8.663266582,41.20053019,0,5,4
-8.661153039,41.20053019,0,5,4
-8.6622911,41.21012243,0,5,4
-8.664242064,41.21028501,0,5,4
-8.660177557,41.21077275,0,5,4
-8.667005928,41.20118051,0,5,4
-8.665867866000001,41.19987987,0,5,4
-8.663754323,41.19922955,0,5,4
-8.66180336,41.19906697,0,5,4
-8.659689816,41.19825407,0,5,4
-8.659689816,41.19987987,0,5,4
-8.657576273,41.19857923,0,5,4
-8.658064013999999,41.20134309,0,5,4
-8.658226594,41.20557018,0,5,4
-8.658226594,41.2078463,0,5,4
-8.658064013999999,41.21077275,0,5,4
-8.665542706,41.19825407,0,5,4
-8.663266582,41.19760375,0,5,4
-8.660827878,41.19679084,0,5,4
-8.658226594,41.19695342,0,5,4
-8.655137568999999,41.19679084,0,5,4
-8.654974989,41.21126049,0,5,4
-8.65578789,41.2086592,0,5,4
-8.65595047,41.20573276,0,5,4
-8.65578789,41.20280631,0,5,4
-8.65578789,41.20004245,0,5,4
-8.653674347,41.19841665,0,5,4
-8.651885964,41.19679084,0,5,4
-8.648471779,41.19679084,0,5,4
-8.649935001000001,41.19971729,0,5,4
-8.653186606,41.20150567,0,5,4
-8.653674347,41.20524502,0,5,4
-8.653349186,41.20898436,0,5,4
-8.650422742,41.21077275,0,5,4
-8.650910482,41.2070334,0,5,4
-8.650910482,41.20426954,0,5,4
-8.647496297,41.20231857,0,-1,4
-8.645870494,41.19857923,0,5,4
-8.642293729,41.19662826,5,-1,4
-8.63692858,41.19695342,5,-1,4
-8.640505346,41.19987987,5,-1,4
-8.644082112000001,41.20296889,5,-1,4
-8.647821458,41.20638308,0,5,4
-8.646033075,41.21028501,0,5,4
-8.64294405,41.20719598,5,-1,4
-8.640017605,41.21061017,5,-1,4
-8.635465358,41.2078463,5,-1,4
-8.639204703999999,41.20524502,5,-1,4
-8.635627937999999,41.20183083,5,-1,4
-8.63042537,41.19727858,5,-1,4
-8.630913111,41.20150567,5,-1,4
-8.634489876,41.20524502,5,-1,4
-8.63026279,41.21044759,5,-1,4
-8.62424732,41.20963468,5,-1,4
-8.628149246,41.2062205,5,-1,4
-8.622296357,41.2045947,5,-1,4
-8.626035703,41.20199341,5,-1,4
-8.626686024,41.19792891,5,-1,4
-8.619857653,41.19825407,5,-1,4
-8.622946678,41.20053019,5,-1,4
-8.615793147,41.20296889,5,-1,4
-8.617093789,41.2086592,5,-1,4
-8.609777677,41.2086592,5,-1,4
-8.676598163,41.19158828,3,-1,-1
-8.684727176,41.20313147,0,-1,-1
-8.67480978,41.20752114,0,-1,4
-8.688141361,41.18654829,3,-1,-1
-8.659689816,41.18687345,2,-1,-1
-8.632864074,41.18589797,5,-1,-1
-8.611240899,41.19353924,5,-1,-1
-8.59286933,41.17207864,4,-1,-1
-8.571571317,41.16037287,4,-1,-1
-8.574660341,41.17305413,4,-1,-1
-8.590918367,41.16069803,1,-1,-1
-8.630100209,41.16004771,1,-1,-1
-8.645220173,41.16037287,2,-1,-1
-8.650260161,41.1411884,6,-1,-1
-8.679036867,41.14232646,6,-1,-1
-8.688466522,41.15143095,6,-1,-1
-8.679036867,41.15614578,6,-1,-1
-8.606200911,41.13988775,1,-1,-1
-8.574660341,41.145252899999996,1,-1,-1
-8.613354442999999,41.17207864,1,-1,-1
